conformsToIssue
describesIssue
hasArtifactIssue
hasReferenceGeneralizationIssue
hasSpaceGeneralizationIssue
hasToolIssue
isAreaOfNormalizationIssue
isProcessedByToolIssue
servesDomainIssue
supportsNormalizationIssue
tboxCommentingIssue
tboxFormattingIssue
ArtifactsDisjointnessIssue
ConceptsDisjointnessIssue
ConformanceLiteratureIssue
FormalEntitiesDisjointnessIssue
FormalSystemsDisjointnessIssue
FoundationalToFormalIssue
LanguagesDisjointnessIssue
LinkingPolicyIssue
MakePropertiesEntitiesIssue
MigrateToBibTeXIssue
MissingPoliciesIssue
PropertyGraphIssue1
PropertyGraphIssue2
ToolsDisjointnessIssue
tboxDependsOnCEIssue
tboxDependsOnFEIssue
LanguageConceptsNamespaceIssue
ModuleImportIssue
SupportsNameClashIssue
